input,reductions,job,median_ns,average_ns,std_dev_ratio,memory_bytes,implementation,uncompressed_bytes,compressed_bytes
none/entropy/1 x 1024B,101.0,consumer,601.0,710.6139225506461,15.095682443977617,1144.0,native,1024,1024
none/entropy/1 x 1024B,1640.0,producer,11417.0,12729.907364984068,0.9787648393104471,6344.0,native,1024,1024
none/entropy/1 x 1048576B,101.0,consumer,601.0,1663.0890774830993,15.131623367816713,1144.0,native,1048576,1048576
none/entropy/1 x 1048576B,3999.0,producer,145900.0,156274.88281495444,0.18977916214107354,6384.0,native,1048576,1048576
none/entropy/100 x 10485B,9780.0,consumer,80761.5,90341.18059593023,0.4323307671476075,115688.0,native,1049400,1049400
none/entropy/100 x 10485B,37122.0,producer,403118.0,441088.8302387268,0.19333528788559562,150648.0,native,1049400,1049400
none/entropy/100 x 10B,9712.0,consumer,59920.0,66926.97455230914,0.3954865661233016,115184.0,native,1800,1800
none/entropy/100 x 10B,28559.0,producer,146861.0,157709.11452072128,0.2830343862722967,144464.0,native,1800,1800
none/text/1 x 1024B,101.0,consumer,601.0,713.1189863564617,16.312741712888574,1144.0,native,1024,1024
none/text/1 x 1024B,1640.0,producer,11708.0,14350.17149722626,1.3789192450253236,6344.0,native,1024,1024
none/text/1 x 1048576B,101.0,consumer,601.0,1633.7219287284365,15.675704695277627,1144.0,native,1048576,1048576
none/text/1 x 1048576B,3999.0,producer,140131.0,152216.27408993576,0.3763049940392433,6384.0,native,1048576,1048576
none/text/100 x 10485B,9780.0,consumer,81002.0,91892.1859175753,0.37439684581097504,115688.0,native,1049400,1049400
none/text/100 x 10485B,37122.0,producer,361515.0,381205.9839572192,0.2170736087443583,150648.0,native,1049400,1049400
none/text/100 x 10B,9712.0,consumer,59910.0,66421.17604598316,0.38199657604919424,115184.0,native,1800,1800
none/text/100 x 10B,28559.0,producer,146159.0,156590.88846999686,0.29131613812061086,144464.0,native,1800,1800
zstd/entropy/1 x 1024B,163.0,consumer,9364.0,10201.822428923168,0.734859999641285,1360.0,native,1024,1034
zstd/entropy/1 x 1024B,1712.0,producer,32468.5,34451.318105733015,0.562917029219604,6864.0,native,1024,1034
zstd/entropy/1 x 1048576B,32249.0,consumer,91608.0,100753.41249239506,0.6358960019427324,2608.0,native,1048576,1048610
zstd/entropy/1 x 1048576B,36005.0,producer,350296.0,362096.730573711,0.12243582175967438,8032.0,native,1048576,1048610
zstd/entropy/100 x 10485B,41946.0,consumer,176787.0,188706.81067777358,0.3636614494659657,118008.0,native,1049400,1049437
zstd/entropy/100 x 10485B,69129.0,producer,587201.0,603759.5344619105,0.23079109952523538,151792.0,native,1049400,1049437
zstd/entropy/100 x 10B,9441.0,consumer,78904.0,86487.44697496523,0.30354399293731865,115584.0,native,1800,1134
zstd/entropy/100 x 10B,28652.0,producer,168438.5,181274.8024017467,0.22984049180244476,145024.0,native,1800,1134
zstd/text/1 x 1024B,163.0,consumer,10666.0,12085.120035742653,1.0723803338391016,1360.0,native,1024,92
zstd/text/1 x 1024B,1709.0,producer,24808.0,27293.937109007362,0.5636502014963259,6864.0,native,1024,92
zstd/text/1 x 1048576B,4607.0,consumer,151529.0,160951.86558966074,0.2536356490658149,2680.0,native,1048576,182
zstd/text/1 x 1048576B,5516.0,producer,169636.0,186793.7557309282,0.24499771155405048,6904.0,native,1048576,182
zstd/text/100 x 10485B,14350.0,consumer,171818.5,181955.86340394447,0.2509959566866004,117712.0,native,1049400,557
zstd/text/100 x 10485B,37258.0,producer,399643.0,426823.8100940975,0.22223810440635733,150968.0,native,1049400,557
zstd/text/100 x 10B,9441.0,consumer,79560.0,87470.02268331283,0.42914379401105485,115584.0,native,1800,160
zstd/text/100 x 10B,28649.0,producer,165289.0,178672.44727403155,0.24990711272370456,145024.0,native,1800,160
none/entropy/1 x 1024B,101.0,consumer,631.0,733.8725758694977,7.982738769218096,1112.0,ezstd,1024,1024
none/entropy/1 x 1024B,1638.0,producer,11708.0,12964.779529656164,0.9440733212322143,6432.0,ezstd,1024,1024
none/entropy/1 x 1048576B,101.0,consumer,631.0,1677.5272776369907,15.24620284771467,1112.0,ezstd,1048576,1048576
none/entropy/1 x 1048576B,4000.0,producer,157828.0,160586.4633279483,0.2037523870728584,6472.0,ezstd,1048576,1048576
none/entropy/100 x 10485B,9541.0,consumer,81642.0,93827.541218638,0.4570203338422707,115656.0,ezstd,1049400,1049400
none/entropy/100 x 10485B,37218.0,producer,367644.0,394253.26007905137,0.21646200706234853,148280.0,ezstd,1049400,1049400
none/entropy/100 x 10B,9807.0,consumer,65509.0,69244.88064066852,0.22900433472442996,114344.0,ezstd,1800,1800
none/entropy/100 x 10B,28571.0,producer,148443.5,162415.05091383812,0.3163192496356963,141807.86629526463,ezstd,1800,1800
none/text/1 x 1024B,101.0,consumer,631.0,728.6863474808313,7.048667249822829,1112.0,ezstd,1024,1024
none/text/1 x 1024B,1638.0,producer,11717.0,13112.459969829211,0.8070436836253906,6432.0,ezstd,1024,1024
none/text/1 x 1048576B,101.0,consumer,631.0,1644.6573687606694,15.423096680140857,1112.0,ezstd,1048576,1048576
none/text/1 x 1048576B,4000.0,producer,141994.0,151867.92542787286,0.3069900816137539,6472.0,ezstd,1048576,1048576
none/text/100 x 10485B,9541.0,consumer,81518.0,89552.26871850251,0.2775017614845948,115656.0,ezstd,1049400,1049400
none/text/100 x 10485B,37218.0,producer,362410.5,374063.62143928034,0.11852559799800272,148280.0,ezstd,1049400,1049400
none/text/100 x 10B,9807.0,consumer,65499.0,69729.15063113604,0.243606891868725,114344.0,ezstd,1800,1800
none/text/100 x 10B,28571.0,producer,147797.5,157036.16099558916,0.2207761254774758,141808.0,ezstd,1800,1800
zstd/entropy/1 x 1024B,117.0,consumer,9444.0,11690.907194314172,0.8794354801460216,1328.0,ezstd,1024,1034
zstd/entropy/1 x 1024B,1651.0,producer,22354.0,24122.30413410018,0.39130911422709896,6592.0,ezstd,1024,1034
zstd/entropy/1 x 1048576B,4247.0,consumer,81373.0,87727.97844903727,0.6196416190582202,1352.0,ezstd,1048576,1048610
zstd/entropy/1 x 1048576B,3998.0,producer,633608.0,632630.7931472082,0.3152739069475858,6632.0,ezstd,1048576,1048610
zstd/entropy/100 x 10485B,13858.0,consumer,190527.0,200754.82715551974,0.19588663344365123,116880.0,ezstd,1049400,1049437
zstd/entropy/100 x 10485B,37013.0,producer,617840.0,648998.3602080625,0.17112393434113268,148440.0,ezstd,1049400,1049437
zstd/entropy/100 x 10B,9673.0,consumer,87442.0,94767.39629841634,0.32901303645242885,115552.0,ezstd,1800,1134
zstd/entropy/100 x 10B,28682.0,producer,167983.0,184939.5560921248,0.5050723546353167,141976.0,ezstd,1800,1134
zstd/text/1 x 1024B,117.0,consumer,10707.0,12936.57639480409,1.0065263039678958,1328.0,ezstd,1024,92
zstd/text/1 x 1024B,1648.0,producer,23816.0,27055.602407651713,0.7938156796168825,6592.0,ezstd,1024,92
zstd/text/1 x 1048576B,4248.0,consumer,144578.0,153196.824,0.18406987114551923,1352.0,ezstd,1048576,182
zstd/text/1 x 1048576B,1594.0,producer,174518.0,200296.2965350524,0.7865908049646662,6632.0,ezstd,1048576,182
zstd/text/100 x 10485B,14052.0,consumer,196826.5,212859.77948717948,0.2723242100474693,116440.0,ezstd,1049400,557
zstd/text/100 x 10485B,34599.0,producer,425902.0,448637.5706570657,0.2226984915174541,148440.0,ezstd,1049400,557
zstd/text/100 x 10B,9673.0,consumer,88613.5,98636.86462882096,0.40710897268428825,115552.0,ezstd,1800,160
zstd/text/100 x 10B,28679.0,producer,162514.0,170731.1452552244,0.17609233787412507,141976.0,ezstd,1800,160
